,"Quarter","Region","State","Trips","Purpose"
1371,"2019-07-25","101916","619433","22909","1298856.4799999988"
1372,"2019-07-26","223915","691007","18446","1003143.1200000009"
1373,"2019-07-27","101916","619433","11337","600729.2299999997"
1374,"2019-07-30","101916","619433","40947","2158835.659999999"
1375,"2019-07-31","018535","619433","23071","1114252.1299999997"
1376,"2019-08-01","042271","619433","35047","1844247.7500000026"
1377,"2019-08-02","224011","691007","25721","1346011.1"
1378,"2019-08-03","018511","222022","11965","667267.2800000003"
1379,"2019-08-05","013622","612030","12649","645441.7000000005"
1380,"2019-08-06","026998","619433","28081","1367496.83"
1381,"2019-08-07","018535","619433","18431","1044681.7600000002"
1382,"2019-08-08","018535","619433","11609","800492.61"
1383,"2019-08-09","110642","691007","22376","1246087.7099999995"
1384,"2019-08-10","018511","612030","19475","965515.7699999994"
1385,"2019-08-13","013622","619433","15097","802577.4100000013"
1386,"2019-08-14","013622","612030","16380","899901.1500000001"
1387,"2019-08-15","122126","619433","19304","1352459.4000000018"
1388,"2019-08-16","018511","619433","14082","809094.3000000005"
1389,"2019-08-17","018535","619433","20570","1013824.2999999997"
1390,"2019-08-19","027018","619433","20320","1425565.298220001"
1391,"2019-08-20","076467","612030","23921","1619506.3463599994"
1392,"2019-08-21","194390","619433","15586","1058109.994860001"
1393,"2019-08-22","122126","619433","13179","785790.0499999997"
1394,"2019-08-23","027001","619433","12961","756169.5700000019"
1395,"2019-08-24","150082","619433","19261","1222806.2899999984"
1396,"2019-08-26","276782","691007","6700","466147.11"
1397,"2019-08-27","153762","619433","41777","2058711.6099999994"
1398,"2019-08-28","101916","619433","27788","1396070.2929000005"
1399,"2019-08-29","018535","619433","30637","1712725.489999999"
1400,"2019-08-30","027001","612030","11477","606201.42"
1401,"2019-08-31","153779","619433","18802","1441132.340000001"
1402,"2019-09-02","086510","612030","14145","713839.5844000003"
1403,"2019-09-03","026998","612030","19702","1165404.360000001"
1404,"2019-09-04","276942","619433","29374","1507896.6500000025"
1405,"2019-09-05","027001","619433","23628","1192298.6400000008"
1406,"2019-09-06","013622","612030","30861","1455179.07"
1407,"2019-09-07","122126","619433","8622","1013046.6899999997"
1408,"2019-09-09","111397","619433","22718","1137758.2999999986"
1409,"2019-09-10","150075","619433","26108","1352018.2199999995"
1410,"2019-09-11","224011","691007","25714","1599170.98336"
1411,"2019-09-12","042288","612030","52749","2601019.1199999987"
1412,"2019-09-13","013622","612030","54334","3005789.5599999987"
1413,"2019-09-14","042271","612030","18136","1024276.5600000003"
1414,"2019-09-16","276782","612030","26939","1419208.2899999996"
1415,"2019-09-17","194390","691007","13007","760525.6425200002"
1416,"2019-09-18","018535","619433","16203","1087569.7770099994"
1417,"2019-09-19","076467","619433","16193","964331.8899999999"
1418,"2019-09-20","153762","691007","8757","604166.5899999999"
1419,"2019-09-21","167905","619433","18458","1240680.9900000005"
1420,"2019-09-23","150075","619433","28409","1477017.6399999992"
1421,"2019-09-24","276782","691007","27955","1515526.7800000005"
1422,"2019-09-25","027001","612030","18525","1080630.68"
1423,"2019-09-26","013622","619433","14289","779298.4300000002"
1424,"2019-09-27","077945","612030","29066","1442149.4499999986"
1425,"2019-09-28","122072","619433","25282","1181783.96"
1426,"2019-09-30","026998","619433","9809","440433.44000000047"
1427,"2019-10-01","276782","619433","7052","765944.3073800002"
1428,"2019-10-02","276942","619433","23367","1163126"
1429,"2019-10-03","026998","619433","10275","568281.7099999997"
1430,"2019-10-04","027018","612030","13398","881982.4493499998"
1431,"2019-10-05","150082","619433","11012","927596.75"
1432,"2019-10-07","027018","619433","14456","849396.0799999996"
1433,"2019-10-08","153144","691007","14256","764251.2799999986"
1434,"2019-10-09","276942","619433","14325","709090.8299999995"
1435,"2019-10-10","013622","612030","17487","973980.3099999998"
1436,"2019-10-11","276782","612030","44555","2244047.8500000015"
1437,"2019-10-12","150105","619433","44953","2267729.0599999926"
1438,"2019-10-15","013622","612030","16551","1175233.7600000007"
1439,"2019-10-16","122126","619433","20037","1075808.6500000006"
1440,"2019-10-17","101916","619433","9666","656243.2799999996"
1441,"2019-10-18","042288","612030","17910","1238634.5003700024"
1442,"2019-10-19","150105","619433","22197","1252492.2899999986"
1443,"2019-10-21","150082","619433","19611","931987.9199999999"
1444,"2019-10-22","027018","619433","14557","797875.6799999991"
1445,"2019-10-24","122126","619433","18952","1090289.8400000008"
1446,"2019-10-25","013622","612030","14125","853872.5580399996"
1447,"2019-10-26","150082","619433","23229","1334381.9099999995"
1448,"2019-10-28","276942","619433","19449","977369.3264499995"
1449,"2019-10-29","111403","619433","18193","941804.9199999996"
1450,"2019-10-30","077945","619433","22655","1330699.849999999"
1451,"2019-10-31","013875","619433","18615","1039878.9199999999"
1452,"2019-11-01","013622","612030","18889","1024595.8163600009"
1453,"2019-11-02","110642","691007","13246","710070.5400000002"
1454,"2019-11-04","111410","612030","11110","635598.5399999997"
1455,"2019-11-05","077945","612030","28739","1484923.6499999992"
1456,"2019-11-06","027018","612030","23742","1252722.6199999999"
1457,"2019-11-07","111403","612030","42035","2422385.3903699983"
1458,"2019-11-08","101916","619433","24036","1243280.7099999995"
1459,"2019-11-09","101916","612030","23868","1181707.5799999994"
1460,"2019-11-11","194390","619433","19986","1091925.4200000002"
1461,"2019-11-12","153779","619433","11379","695198.5"
1462,"2019-11-13","013622","612030","27746","2025566.9899999993"
1463,"2019-11-14","167851","619433","27660","1315778.9141099995"
1464,"2019-11-15","276843","619433","52300","2552097.876449997"
1465,"2019-11-16","276942","691007","13827","716359.1900000001"
1466,"2019-11-18","013622","612030","22432","1445929.1899999974"
1467,"2019-11-19","077945","612030","29658","1808366.5100000002"
1468,"2019-11-20","122126","619433","20204","1112604.6900000004"
1469,"2019-11-21","122126","619433","14678","683488.5699999995"
1470,"2019-11-22","122126","619433","12386","705653.8670099995"
1471,"2019-11-23","111397","612030","13198","663641.1899999992"
1472,"2019-11-24","013622","612030","5","397.2"
1473,"2019-11-25","110673","612030","27564","1386748.2600000002"
1474,"2019-11-26","276942","619433","13284","799677.3928999994"
1475,"2019-11-27","122065","612030","24295","1224675.5899999999"
1476,"2019-11-28","150099","619433","22820","1231906.0999999992"
1477,"2019-11-29","018511","612030","10875","462500.62999999954"
1478,"2019-11-30","153779","619433","4344","223906.39999999997"
1479,"2019-12-02","076467","612030","23989","1146302.2799999998"
1480,"2019-12-03","122126","619433","7376","463869.67999999964"
1481,"2019-12-04","013622","619433","18294","1275992.8414000003"
1482,"2019-12-06","150082","619433","20347","1114656.4000000004"
1483,"2019-12-07","150082","619433","32456","1654748.0200000003"
1484,"2019-12-09","101916","612030","30139","1629411.409999999"
1485,"2019-12-10","042288","619433","42142","2677985.1200000034"
1486,"2019-12-11","150105","619433","17081","1017690.6000000003"
1487,"2019-12-12","167851","619433","26661","1453516.4028900003"
1488,"2019-12-13","153779","619433","39981","1877407.7220599987"
1489,"2019-12-14","150105","619433","13959","737713.4999999998"
1490,"2019-12-16","111410","691007","33398","1755904.609999999"
1491,"2019-12-17","076467","612030","41759","2448888.828220001"
1492,"2019-12-18","086510","691007","30033","1538218.4899999993"
1493,"2019-12-19","013622","612030","15342","1022036.0699999994"
1494,"2019-12-20","076467","612030","22156","1383986.200000001"
1495,"2019-12-21","150099","619433","17936","970051.9700000002"
